Id,Identifier,Title,Screenshot,Teaser,Slug,Free,Video length
351,246,Raycaster Part 3: Finishing Up,https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/351/246_Raycaster_Part_3_Finishing_Up_Screenshot.png,"Wrapping up our raycaster project, resulting in a really fun simulation of light occlusion.",raycaster-part-3-finishing-up,false,608,2016-05-17 00:00:00 UTC,2016-05-17 19:42:33 UTC,2016-05-17 19:45:36 UTC,false
350,245,Raycaster Part 2: Finding Intersections,https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/350/245_Raycaster_Part_2_Finding_Intersections_Screenshot.png,"Calculating where 2 lines intersect, and using that to determine where walls occlude rays of light",raycaster-part-2-finding-intersections,false,1223
349,244,Raycaster,https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/349/244_Raycaster_Screenshot.png,Casting rays and simulating how light falls when cut off by various walls. (This is just the setup though!),raycaster,false,337
336,243,Moebius - Functional Database Queries,https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/336/243_Moebius_Functional_Database_Queries_Screenshot.png,"A library from Rob Conery for querying PostgreSQL databases that is composable, supports JSONB document databases, and in general makes constructing queries extremely pleasant.",moebius-functional-database-queries,false,534
335,242,Bamboo Email,https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/335/242_Bamboo_Email_Screenshot.png,"A library from Thoughtbot that makes it easy to send emails that is testable, composable, and adapter-based.",bamboo-email,true,354
327,241,Constraint Solving,https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/327/241_Constraint_Solving_Screenshot.png,Using for comprehensions to solve some basic constraint modeling problems.,constraint-solving,false,411
324,240,Phoenix and Elm,https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/324/240_Phoenix_and_Elm_Screenshot.png,Using `elm-brunch` to wire your Elm application into Phoenix's default build pipeline.,phoenix-and-elm,true,125
302,239,OpenGL Extris,https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/302/239_OpenGL_Extris_Screenshot.png,"Hooking our OpenGL Bitmap renderer into the Extris game, to render our Tetris clone in 3D.",opengl-extris,false,332
301,238,OpenGL: 3D Bitmaps,https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/301/238_OpenGL_3D_Bitmaps_Screenshot.png,"Introducing trivially repeatable shapes with GL Display Lists, and rendering a bitmap as cubes in a scene.",opengl-3d-bitmaps,false,313
281,237,OpenGL Part 2 - Color and Depth,https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/281/237_OpenGL_Part_2_Color_and_Depth_Screenshot.png,"Introducing color to our scenes, and making use of the Z coordinates so that we aren't just drawing fancy 2D scenes.",opengl-part-2-color-and-depth,false,379
280,236,OpenGL in Elixir,https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/280/236_OpenGL_in_Elixir_Screenshot.png,"Beginning an exploration of OpenGL programming in Elixir, using wx.  We'll be porting the NeHe OpenGL tutorials.",opengl-in-elixir,false,699
276,235,Supervising Hedwig Twitter,https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/276/235_Supervising_Hedwig_Twitter_Screenshot.png,"Using `Task.Supervisor` to supervise our chatbot's ExTwitter streams, restarting them in the event of failure.",supervising-hedwig-twitter,false,217
268,234,Hedwig Twitter Bot,https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/268/234_Hedwig_Twitter_Bot_Screenshot.png,Modifying our existing Hedwig bot to interact with Twitter via ExTwitter.,hedwig-twitter-bot,false,847
266,233,Hedwig Bot Framework,https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/266/233_Hedwig_Bot_Framework_Screenshot.png,"Building chatbots with Elixir.  With XMPP, Slack, and HipChat adapters already available.",hedwig-bot-framework,false,245
260,232,Encryption and Hashing,https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/260/232_Encryption_and_Hashing_Screenshot.png,"An explanation of one way hashes, HMACs, password hashing, and a discussion about encryption proper.",encryption-and-hashing,false,303
257,231,Pi Walk With Logo,https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/257/231_Pi_Walk_With_Logo_Screenshot.png,A random walk through Pi using our Logo interpreter.,pi-walk-with-logo,false,242
232,230,The `i` Helper,https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/232/230_The_i_Helper_Screenshot.png,A new feature in Elixir 1.2 to provide information about any piece of data.,the-i-helper,false,234
229,229,"TDDing an E-Commerce Site With Phoenix, Part 8 - Stripe Checkout",https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/229/229_TDDing_an_ECommerce_Site_With_Phoenix_Part_8_Stripe_Checkout_Screenshot.png,Using Stripe's `Checkout` library to provide a nice user experience and avoid handling sensitive credit card details server-side.,tdding-an-e-commerce-site-with-phoenix-part-8-stripe-checkout,false,888
22,228,"TDDing an E-Commerce Site With Phoenix, Part 7 - Stripe
",https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/22/228_TDDing_an_ECommerce_Site_With_Phoenix_Part_7_Stripe_Screenshot.png,Adding the ability for the Register to charge a credit card for the Order via the Stripe API.,tdding-an-e-commerce-site-with-phoenix-part-7-stripe,false,594
